author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Stenoy;developer;https://www.cian.ru/sale/flat/305925225/;Москва;sale;flat;10;12;1;24.9;15309815.0;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
AR Realty - Real Estate Agency;real_estate_agent;https://www.cian.ru/sale/flat/307108835/;Москва;sale;flat;15;46;1;34.0;24990000.0;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Комета Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/297911193/;Москва;sale;flat;5;5;-1;14.0;6800000.0;Басманный;переулок Токмаков;16С2;Курская;
А101;developer;https://www.cian.ru/sale/flat/306747230/;Москва;sale;flat;5;9;1;21.0;5927550.0;;;9.1;Улица Горчакова;Бунинские Кварталы ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303251831/;Москва;sale;flat;4;17;1;19.8;5990000.0;Южное Бутово;;3.2;Бульвар Дмитрия Донского;Никольские Луга ЖК
ID 24875230;unknown;https://www.cian.ru/sale/flat/301452380/;Москва;sale;flat;13;17;1;19.8;7450000.0;Люблино;13.2;13.2;Перерва;Люблинский парк ЖК
Основа;developer;https://www.cian.ru/sale/flat/304955123/;Москва;sale;flat;3;20;-1;23.89;8421225.0;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299367855/;Москва;sale;flat;9;13;1;29.2;15500000.0;Хорошево-Мневники;Жилой комплекс остров;4-й кв-л;Терехово ;Остров
ID 107537946;realtor;https://www.cian.ru/sale/flat/306607204/;Москва;sale;flat;1;12;1;27.0;6750000.0;; Лазурная;11;Новомосковская;
А101;developer;https://www.cian.ru/sale/flat/306744191/;Москва;sale;flat;7;9;1;20.7;6433628.0;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303909667/;Москва;sale;flat;5;21;-1;35.5;21900000.0;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Mango Realty;real_estate_agent;https://www.cian.ru/sale/flat/307813540/;Москва;sale;flat;1;5;1;15.9;5500000.0;Кузьминки;Жигулевская ;4К1;Кузьминки;New Form Жигулевская
Основа;developer;https://www.cian.ru/sale/flat/307226361/;Москва;sale;flat;2;29;-1;21.1;8967500.0;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307224176/;Москва;sale;flat;8;22;1;31.3;17900000.0;Марьина роща;Полковая ;1С4;Савёловская;PRIDE
Диана Ултургашева;realtor;https://www.cian.ru/sale/flat/307433056/;Москва;sale;flat;1;5;1;8.0;4550000.0;Басманный; Чаплыгина;8С1;Чистые пруды;
Plus Development;developer;https://www.cian.ru/sale/flat/307509158/;Москва;sale;flat;3;23;1;22.2;6054035.0;;;;Филатов Луг;Детали ЖК
Валерия Стрельникова;realtor;https://www.cian.ru/sale/flat/307627270/;Москва;sale;flat;1;5;-1;20.0;6299999.0;Аэропорт;2-й Амбулаторный проезд;8С3;Красный Балтиец;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296192770/;Москва;sale;flat;2;9;-1;21.74;5782840.0;Косино-Ухтомский; Николая Старостина;14;Реутов;МФК CITIMIX Новокосино
Среда;developer;https://www.cian.ru/sale/flat/303859297/;Москва;sale;flat;4;13;1;24.6;11418409.0;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Алеся Лунина;realtor;https://www.cian.ru/sale/flat/300059548/;Москва;sale;flat;10;22;-1;14.3;7900000.0;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195825/;Москва;sale;flat;24;25;1;34.5;13600832.0;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
Ташир;developer;https://www.cian.ru/sale/flat/302690311/;Москва;sale;flat;15;21;-1;37.7;17082288.0;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303092084/;Москва;sale;flat;2;25;1;26.7;8499999.0;Люблино;Люблинская ;72к3;Депо;Люблинский парк
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196592/;Москва;sale;flat;12;20;1;26.6;11548683.0;Головинский;Северный ао;;Коптево;Михалковский ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304180931/;Москва;sale;flat;2;27;1;20.6;8900000.0;Нижегородский;;;Нижегородская;Аквилон Бисайд ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/303823564/;Москва;sale;flat;13;46;1;38.1;37283947.0;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/307401108/;Москва;sale;flat;4;26;1;19.9;8900000.0;Печатники;Южнопортовая ;1;Кожуховская;
Основа;developer;https://www.cian.ru/sale/flat/293623771/;Москва;sale;flat;7;28;-1;25.1;11518390.0;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303818931/;Москва;sale;flat;21;35;-1;29.4;9000000.0;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
MR Group;developer;https://www.cian.ru/sale/flat/306474490/;Москва;sale;flat;43;54;1;26.98;18699217.0;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
Студии в ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/304545704/;Москва;sale;flat;2;3;1;16.8;9300000.0;Тверской;2-й Щемиловский переулок;6;Достоевская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195889/;Москва;sale;flat;12;26;1;24.0;10331928.0;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/304182766/;Москва;sale;flat;23;33;1;19.88;10000000.0;Очаково-Матвеевское;;к13;Аминьевская;Матвеевский Парк ЖК
Forma;developer;https://www.cian.ru/sale/flat/306957833/;Москва;sale;flat;15;27;1;30.1;18023428.0;Аэропорт;Часовая ;28к8;Сокол;SOUL
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307089983/;Москва;sale;flat;2;32;1;21.8;10000000.0;Бескудниковский;Дмитровское шоссе;вл89;Селигерская;Дмитровское небо
FORMA;developer;https://www.cian.ru/sale/flat/298003526/;Москва;sale;flat;4;26;1;31.47;27910743.0;Пресненский;к2.2;к2.2;Белорусская;Репаблик ЖК
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/304370996/;Москва;sale;flat;2;5;-1;27.5;9950000.0;Кунцево;Ярцевская ;4;Молодёжная;
Ташир;developer;https://www.cian.ru/sale/flat/302722516/;Москва;sale;flat;9;16;-1;36.0;19584000.0;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306450395/;Москва;sale;flat;31;34;1;24.04;10200000.0;Рязанский; Михайлова;30Ак2;Окская;Михайловский парк
MR Group;developer;https://www.cian.ru/sale/flat/306514128/;Москва;sale;flat;27;28;1;25.4;19506615.0;Даниловский;Дубининская ;59к9;Серпуховская;Павелецкая Сити
Студии в ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/302390738/;Москва;sale;flat;2;6;1;20.4;10230000.0;Тверской;2-й Самотечный переулок;7;Достоевская;
MR Group;developer;https://www.cian.ru/sale/flat/307821675/;Москва;sale;flat;15;28;1;27.0;14143275.0;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
TPI Company;official_representative;https://www.cian.ru/sale/flat/302565129/;Москва;sale;flat;3;10;1;29.3;10255000.0;Головинский;Михалковская ;52С7;Коптево;Апарт-комплекс Monodom Lake
Основа;developer;https://www.cian.ru/sale/flat/303506536/;Москва;sale;flat;11;19;-1;43.6;34444000.0;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302791183/;Москва;sale;flat;4;30;1;25.0;10500000.0;Можайский; Петра Алексеева;14;Давыдково;КутузовGRAD II
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307796819/;Москва;sale;flat;1;3;-1;19.2;11520000.0;Арбат;Шубинский переулок;7;Смоленская;
Светлана Лушкина;realtor;https://www.cian.ru/sale/flat/306956629/;Москва;sale;flat;2;5;-1;13.5;3800000.0;Очаково-Матвеевское;Рябиновая ;45К2;Озёрная;
А101;developer;https://www.cian.ru/sale/flat/306741628/;Москва;sale;flat;14;16;1;20.9;6225853.0;;;;Новомосковская;Деснаречье ЖК
Александр Овчинников;realtor;https://www.cian.ru/sale/flat/307431557/;Москва;sale;flat;8;15;-1;33.0;14950000.0;Коптево;Северный ао;;ЦСКА;
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/307224733/;Москва;sale;flat;1;5;-1;13.3;3200000.0;Басманный;Плетешковский переулок;7-9С1;Бауманская;
Брусника;developer;https://www.cian.ru/sale/flat/305487764/;Москва;sale;flat;12;27;1;28.1;16170000.0;Бутырский;;;Улица Милашенкова;Квартал Монс ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307796815/;Москва;sale;flat;1;3;-1;24.1;14460000.0;Арбат;Шубинский переулок;7;Смоленская;
Андрей Грачев;realtor;https://www.cian.ru/sale/flat/301689027/;Москва;sale;flat;1;5;-1;15.9;4500000.0;Даниловский;Автозаводская ;19К1;Автозаводская;
А101;developer;https://www.cian.ru/sale/flat/306741303/;Москва;sale;flat;3;16;1;24.5;15779013.0;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/306696112/;Москва;sale;flat;5;5;-1;15.5;7200000.0;Восточное Измайлово;14-я Парковая ;8;Первомайская;
Инком-Недвижимость. Новостройки;real_estate_agent;https://www.cian.ru/sale/flat/299020616/;Москва;sale;flat;3;3;-1;17.9;3540500.0;Южное Тушино; Свободы;35С43;Сходненская;
Аквилон;developer;https://www.cian.ru/sale/flat/304054315/;Москва;sale;flat;2;23;-1;22.7;6829113.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Марина Перевозчикова;realtor;https://www.cian.ru/sale/flat/302749245/;Москва;sale;flat;3;5;-1;14.0;4500000.0;Черемушки;Херсонская ;41А;Зюзино;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207888/;Москва;sale;flat;15;20;1;21.0;6496880.0;;;3;Филатов Луг;Город-парк Первый Московский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302136720/;Москва;sale;flat;2;6;-1;26.9;11298000.0;Таганский;2-й Гончарный переулок;3;Таганская;
